Ticker,PE,Cap
KO,23.76,253.676B
EXPD,23.96,18.6B
YUM,24.88,36.681B
KMX,24.98,12.354B
ORLY,25.04,55.68B
CME,25.05,75.584B
PPG,25.14,35.394B
SO,25.29,75.569B
JWN,25.48,3.061B
ITW,25.57,79.323B
PH,25.59,59.31B
CHRW,25.78,10.104B
NSC,25.8,53.206B
HON,25.86,137.553B
PPL,25.95,19.891B
NDAQ,25.96,33.403B
MCD,25.98,213.508B
BIIB,25.99,37.891B
ROK,26.06,35.651B
TJX,26.17,105.597B
EMR,26.24,55.792B
WMT,26.27,424.995B
JNPR,26.29,9.387B
KLAC,26.4,80.208B
PAYX,26.53,42.855B
SBUX,26.55,108.026B
APD,26.59,60.919B
MDT,26.7,109.33B
DLTR,26.93,30.865B
LRCX,26.93,104.473B
GOOG,27.13,1.76T
MMC,27.16,92.951B
ROST,27.22,46.192B
NTAP,27.35,18.257B
ADP,27.45,95.073B
FFIV,27.53,10.75B
EXPE,27.93,21.212B
PSA,27.94,53.696B
STZ,28.19,44.06B
PEP,28.24,232.601B
MKC,28.38,18.273B
AVB,28.69,26.848B
FCX,28.79,61.934B
ORCL,29.21,290.657B
PRU,29.26,37.391B
DHR,29.28,171.801B
JNJ,29.32,375.534B
VRSN,29.34,20.999B
ICE,29.59,72.987B
DO,29.94,1.379B
DOW,30.23,39.019B
WAT,30.29,19.681B
ADI,30.37,98.561B
KIM,30.57,13.454B
NKE,31.14,163.042B
HES,31.15,45.546B
CLF,31.28,10.582B
V,31.29,531.78B
MSI,31.38,51.515B
AAPL,31.42,3.001T
WM,31.45,71.577B
RSG,31.77,51.471B
APH,32.04,59.43B
ETN,32.14,95.863B
CCI,32.3,50.146B
EW,32.51,46.133B
ACN,32.68,220.852B
FAST,33.04,37.388B
SE,33.1,22.776B
A,33.33,40.918B
SHW,33.44,80.033B
AVY,34.07,16.298B
PGR,34.17,92.003B
TMO,34.79,205.129B
BLK,34.8,120.688B
EQR,35.56,23.495B
AKAM,35.87,17.907B
LUV,35.94,17.354B
VMC,36.09,29.973B
MSFT,36.27,2.776T
MA,36.94,397.673B
ABT,37.23,190.046B
EA,37.76,36.762B
FE,38.11,20.772B
MNST,38.71,59.612B
DD,38.95,32.999B
FSLR,38.96,18.397B
WY,39.99,25.397B
CL,41.45,65.182B
IR,42.16,31.404B
PLD,42.51,123.341B
CTAS,43.96,61.489B
SYK,44.25,113.153B
GLW,44.88,26.039B
COST,45.54,295.816B
PWR,46,31.275B
ECL,46.16,56.729B
XYL,46.71,27.587B
ROP,47.16,58.034B
MCO,47.31,71.259B
BDX,47.36,70.275B
NFLX,49.1,215.346B
ADBE,50.24,271.081B
TER,51.4,16.895B
TAP,52.27,13.2B
CMG,54.68,63.361B
IGT,55.02,5.515B
FLR,55.98,6.772B
ADSK,57.81,52.431B
BXP,57.91,11.179B
EFX,59.29,30.754B
MRK,59.91,273.256B
NVDA,65.08,1.22T
BSX,68.24,81.973B
INTU,68.87,175.833B
DIS,69.98,165.241B
TDC,73.28,4.3B
IRM,74.46,20.436B
ISRG,79.07,118.307B
AMZN,79.91,1.586T
MAT,82.7,6.718B
BAX,83.82,19.56B
EL,94.42,52.034B
CRM,100.77,257.527B
NWSA,101.69,14.123B
LLY,104.95,551.951B
DV,118.41,6.441B
NU,119.21,39.68B
AMT,144.59,100.428B
CAH,164.74,24.768B
GPS,193.82,7.906B
CLX,202.06,17.548B
WYNN,323.68,10.236B
PRGO,399.62,4.332B
AMD,1325.42,235.534B
IFF,1352.83,20.721B
VTR,2535.5,20.405B
SJM,12492,13.26B
AES,N/A,12.917B
AA,N/A,6.196B
ALL,N/A,36.081B
ALTR,N/A,6.872B
AIV,N/A,1.162B
T,N/A,118.047B
BEAM,N/A,2.355B
BRK.B,N/A,N/A
BIG,N/A,236.365M
BA,N/A,158.183B
CCL,N/A,24.133B
XRAY,N/A,7.546B
DNB,N/A,5.173B
FIS,N/A,35.73B
FTI,N/A,8.894B
FOSL,N/A,79.766M
GME,N/A,5.594B
GT,N/A,4.143B
HAS,N/A,7.051B
HCP,N/A,4.78B
INTC,N/A,213.224B
KSS,N/A,3.237B
LIFE,N/A,85.738M
LNC,N/A,4.607B
MET,N/A,48.841B
MU,N/A,95.494B
NBR,N/A,807.8M
NWL,N/A,3.618B
NEM,N/A,48.739B
NRG,N/A,11.539B
PLL,N/A,565.33M
PBI,N/A,758.223M
PX,N/A,1.177B
SAI,N/A,35.408M
STX,N/A,17.897B
S,N/A,8.29B
SWK,N/A,15.113B
SRCL,N/A,4.612B
TRIP,N/A,2.959B
TSN,N/A,18.755B
VFC,N/A,7.317B
VNO,N/A,6.03B
WDC,N/A,16.997B
WHR,N/A,6.719B
